상권_코드,상권_코드_명,kmeans_cluster,상권유형
3110220,외대앞역 1번,0,성장상권
3110226,장안1동주민센터,2,쇠퇴상권
3110227,답십리공원,2,기대상권
3110228,장안근린공원,2,쇠퇴상권
3110229,장평중학교,2,쇠퇴상권
3110230,장안현대홈타운1차아파트,2,쇠퇴상권
3110232,동대부고,2,기대상권
3110236,신묵초등학교,2,쇠퇴상권
3110237,메가박스 상봉,2,쇠퇴상권
3110240,태릉시장 특화거리,2,쇠퇴상권
3110241,먹골역 5번,2,기대상권
3110243,중랑노인종합복지관,2,쇠퇴상권
3110244,중화역 4번,2,쇠퇴상권
3110246,월드순복음교회,2,전통강호상권
3110247,먹골역 1번,2,쇠퇴상권
3110249,중화역 1번,2,쇠퇴상권
3110251,장안중학교,2,쇠퇴상권
3110254,오거리공원,2,기대상권
3110255,상봉역 4번,2,쇠퇴상권
3110256,면목2동체육관,2,쇠퇴상권
3110258,면동초등학교,2,쇠퇴상권
3110259,사가정역 1번,2,기대상권
3110261,사가정역 4번,2,기대상권
3110262,상봉역 3번,2,정체상권
3110266,면목동우체국,2,기대상권
3110267,망우역 2번,2,쇠퇴상권
3110272,신내1동주민센터,2,성장상권
3110274,서일대학교,2,기대상권
3110277,러스크서울병원,2,정체상권
3110278,망우본동주민센터,2,기대상권
3110280,북정마을,2,기대상권
3110283,성북초등학교앞,2,기대상권
3110285,홍대부중,2,정체상권
3110286,한성대입구역 5번,2,기대상권
3110288,동구여중,2,쇠퇴상권
3110291,한성대입구역 3번,2,쇠퇴상권
3110293,삼선중학교,2,기대상권
3110294,서경대학교,2,쇠퇴상권
3110295,정릉우체국,2,정체상권
3110296,성신여대입구역 4번,0,정체상권
3110297,경동고등학교,2,쇠퇴상권
3110299,정릉역 1번,2,정체상권
3110300,삼선동주민센터,2,기대상권
3110301,성신여대입구역 7번,2,기대상권
3110302,보문역 8번,2,기대상권
3110303,성신여대입구역 1번,2,쇠퇴상권
3110304,보문역 4번,2,기대상권
3110308,길음역 8번,2,기대상권
3110309,대광초등학교,2,쇠퇴상권
3110312,안암역 2번,0,성장상권
3110313,안암역 3번,2,전통강호상권
3110314,종암경찰서,2,성장상권
3110315,종암아이파크2차,2,기대상권
3110316,숭곡초등학교,2,전통강호상권
3110317,종암중학교,2,성장상권
3110319,종암동주민센터,2,쇠퇴상권
3110323,상월곡역 1번,2,기대상권
3110327,상월곡역 2번,2,기대상권
3110328,상월곡역 3번,2,기대상권
3110330,돌곶이역 1번,2,기대상권
3110331,돌곶이역 8번,2,정체상권
3110333,돌곶이역 5번,2,쇠퇴상권
3110335,석계역 7번,0,성장상권
3110337,아카데미하우스,2,정체상권
3110341,북한산우이역 2번,2,기대상권
3110343,무너미어린이공원,2,쇠퇴상권
3110345,솔밭공원역 2번,2,쇠퇴상권
3110346,4.19민주묘지역 2번,2,전통강호상권
3110348,강북문화예술회관,2,기대상권
3110350,가오리역 2번,2,기대상권
3110354,삼각산119안전센터,2,쇠퇴상권
3110355,삼양사거리역 2번,2,쇠퇴상권
3110359,수유시장옆,2,쇠퇴상권
3110360,수유초등학교,2,기대상권
3110362,우이천 계성교,2,쇠퇴상권
3110367,강북구청,2,쇠퇴상권
3110369,성신여대운정그린캠퍼스,2,쇠퇴상권
3110370,도봉세무서,2,쇠퇴상권
3110371,삼양입구사거리,2,정체상권
3110372,강북중학교,2,기대상권
3110374,송중초등학교,2,쇠퇴상권
3110376,수송초등학교,2,쇠퇴상권
3110377,미아사거리역 3번,2,기대상권
3110378,송중동주민센터,2,기대상권
3110383,덕성여대시반거리,2,기대상권
3110387,쌍문초등학교,2,쇠퇴상권
3110388,도봉우체국,2,기대상권
3110393,국민은행방학지점,2,쇠퇴상권
3110395,신한은행 방학동지점,2,기대상권
3110396,쌍문역1번(쌍리단길),0,성장상권
3110397,도봉산입구,2,쇠퇴상권
3110398,쌍문2동우체국,2,기대상권
3110399,창2동주민센터,2,기대상권
3110403,방학1동주민센터,2,기대상권
3110404,신창초등학교,2,쇠퇴상권
3110406,도봉산역 1번,2,정체상권
3110407,도봉역 2번,2,쇠퇴상권
3110408,가인초등학교,2,기대상권
3110409,창동역 2번,2,성장상권
3110410,방학역 2번,2,정체상권
3110415,수락산역 4번,2,정체상권
3110417,월계역 3번,2,쇠퇴상권
3110418,광운대학교 남단,2,기대상권
3110419,수락산디자인거리,1,쇠퇴상권
3110420,광운대역 1번,2,성장상권
3110421,석계역 1번,2,성장상권
3110424,상계초등학교,2,기대상권
3110425,계상초등학교,2,쇠퇴상권
3110426,상계2동주민센터,2,정체상권
3110428,상계5동주민센터,2,쇠퇴상권
3110429,공릉동 국수거리,2,쇠퇴상권
3110431,상계역,2,성장상권
3110432,대진고등학교,2,쇠퇴상권
3110433,공릉역 2번,2,쇠퇴상권
3110435,서울과학기술대,2,성장상권
3110437,당고개역 2번,2,정체상권
3110438,경춘선숲길 우측,2,기대상권
3110439,당고개역 5번,2,정체상권
3110441,영신여고,2,쇠퇴상권
3110442,화랑대철도공원,2,쇠퇴상권
3110446,내를건너서숲으로도서관,2,정체상권
3110449,증산역 3번,2,기대상권
3110450,시립서북병원,2,기대상권
3110452,새절역 3번,2,쇠퇴상권
3110453,신사1동주민센터,2,기대상권
3110455,역촌노인복지관,2,기대상권
3110456,구산보건지소,2,쇠퇴상권
3110458,선일여고,2,기대상권
3110460,구산역 4번,2,쇠퇴상권
3110463,응암3동주민센터,2,정체상권
3110464,연신내역 5번,2,쇠퇴상권
3110465,연신내역 7번,2,기대상권
