상권_코드,sps_mean,sps_std,sps_cv,sps_min,sps_max,sps_first,sps_last,sps_growth,sps_cagr,sps_yoy_growth,sps_trend_slope,sps_trend_r2,sps_trend_pvalue,store_first,store_last,store_growth,store_mean,sales_mean,sales_growth,sps_q1_ratio,sps_q2_ratio,sps_q3_ratio,sps_q4_ratio,decline_quarters,decline_ratio,data_quarters,trend_class,scale_class,상권유형
3001491,37330210.79629523,4993541.319866145,0.1337667592373124,30504626.77173913,50707545.011764705,34251701.06382979,36788090.355932206,0.07405148396500741,0.018019917129966423,-0.021315494323425343,-467052.1029347554,0.1858969662602576,0.09543760177503643,94.0,118.0,0.2553191489361702,107.0,3955596522.5,0.3482773947645837,0.9005242424605001,1.045965002497133,1.011131924617195,1.0423788304251718,6.0,0.4,16.0,정체,大,정체상권
3001492,63285475.168148436,10657440.135242192,0.1684026248823376,37348055.62706271,73542992.4054054,37348055.62706271,69595624.58600584,0.86343367593081,0.16836485565503123,-0.010962510164676734,1811603.597925823,0.6140157055302614,0.00032902640704444476,303.0,343.0,0.132013201320132,329.0625,20941410792.75,1.1094315209381775,0.8837187717398586,1.0158708686543527,1.0091745582399452,1.0912358013658434,7.0,0.4666666666666667,16.0,상승,大,성장상권
3001493,17398391.52237991,2192786.474410565,0.12603386189981636,12451032.112244898,20232151.601769913,12451032.112244898,19556612.95689655,0.5706820752364544,0.11949477743730297,0.1105177880894465,215376.98820074793,0.2050051853229267,0.07822171396646392,98.0,116.0,0.1836734693877551,107.3125,1871849795.375,0.859174701300293,0.8246572312003472,1.0604832621912947,1.1066268463788826,1.0082326602294758,7.0,0.4666666666666667,16.0,상승,中,기대상권
3001494,42902803.02314146,7456130.4845141675,0.17379122013292198,26384888.273972604,53543842.654320985,26384888.273972604,52839636.245398775,1.0026477162506116,0.18960050513474513,0.10189085479121412,1419022.9065323512,0.7696809668583419,8.062428489907478e-06,146.0,163.0,0.11643835616438356,158.9375,6851056648.5625,1.2358327243071896,0.844536385221587,1.0573319409750008,1.040068848577196,1.058062825226216,7.0,0.4666666666666667,16.0,상승,大,성장상권
3001495,50095883.59537175,7203775.977938705,0.14379975880102544,36042255.44604316,61401244.34394904,36042255.44604316,58043511.68617021,0.6104295074725247,0.12651098193177757,0.11753979592128788,1010596.9176441382,0.41821006000009836,0.006783734004043201,139.0,188.0,0.35251798561151076,171.375,8661966021.9375,1.1781348734160764,0.8990868071000065,1.0426861109734245,0.9840038150556658,1.0742232668709029,7.0,0.4666666666666667,16.0,상승,大,성장상권
3110002,17520577.203125,3691071.3121227752,0.21067064568309024,12993874.25,25125054.5,16300025.5,13172401.5,-0.191878472828156,-0.051867204327219585,-0.11132136269802646,-569561.9146323529,0.5059830226214223,0.002002723393266371,4.0,4.0,0.0,4.125,72028544.1875,-0.191878472828156,0.9209211581866219,1.1019658870916853,1.0641243619630645,0.9129885927586284,8.0,0.5333333333333333,16.0,하락,中,쇠퇴상권
3110003,6676608.036160715,1477163.9234386503,0.22124466726791284,4260658.5,9691426.857142856,6196201.666666667,5096701.166666667,-0.17744750076727112,-0.04766245445066464,-0.21957753459479393,-244843.6128326331,0.5838201873491109,0.0005691291732172484,6.0,6.0,0.0,5.9375,40137894.0,-0.17744750076727114,0.9589304906866605,1.1498841187079452,0.9513604658451934,0.9398249247602007,9.0,0.6,16.0,하락,小,쇠퇴상권
3110006,19140636.396874998,2910229.101239216,0.15204453190043124,12856513.25,23590116.75,20242123.25,20504565.333333332,0.012965146002326218,0.003225645725826176,-0.21725908278454695,-186632.72071078434,0.08739370480812446,0.2662866225780093,4.0,3.0,-0.25,4.5,86165188.25,-0.2402761404982553,0.9211119321966994,1.0289381208374433,1.0009283592295415,1.049021587736316,7.0,0.4666666666666667,16.0,정체,中,정체상권
3110008,47898096.32541312,5873309.642127437,0.12262094097070107,38424600.18181818,56744427.368421055,38424600.18181818,48353056.56521739,0.2583880206018949,0.059140667493456034,-0.05085377860820177,-511503.7125125221,0.16117241732294824,0.1232496576217442,33.0,46.0,0.3939393939393939,43.375,2064703555.0625,0.7541166347783989,0.9048699149057191,1.0900608172564346,0.9855696583367736,1.019499609501073,6.0,0.4,16.0,상승,大,성장상권
3110009,17275371.116326123,6975557.678603663,0.4037862707337962,7563228.571428572,29784212.285714287,8378922.0,13760732.142857144,0.6423034064354751,0.13204410737746408,-0.01759242912658831,246580.7001952031,0.026553344447593205,0.546516999407789,13.0,14.0,0.07692307692307693,14.1875,245995010.75,0.7686344376997423,0.510883210973449,1.1637459783160968,1.5520348729375475,0.7733359377729065,7.0,0.4666666666666667,16.0,상승,中,기대상권
3110012,40279116.028554775,6150201.957365866,0.15268959609257185,29265282.0,55142875.09090909,29265282.0,42905573.25,0.4660912288492556,0.10037381932767286,-0.03626561158400395,304451.58536439034,0.052073486940424164,0.39530234882474014,11.0,12.0,0.09090909090909091,11.375,457387237.4375,0.5993722496537334,0.8523723574166022,1.1574366674015228,0.950144461990624,1.0400465131912515,8.0,0.5333333333333333,16.0,상승,大,성장상권
3110013,5939824.975,2918288.791013451,0.49130888591771193,3353090.75,14293824.666666666,3353090.75,14293824.666666666,3.2628803490232605,0.43689748868143474,1.2992408294060465,425894.77044117654,0.45259214798656944,0.004293912694218053,4.0,3.0,-0.25,5.0625,27749328.875,2.1971602617674453,0.7596147512466617,1.0303788587923277,1.0114977125230866,1.1985086774379239,7.0,0.4666666666666667,16.0,상승,小,기대상권
