,상권_코드,점포당_매출액,log_sps,당월_매출_금액,log_sales,총_유동인구_수,총_상주인구_수,log_population,유동인구_밀도,상주인구_밀도,20_40_유동인구_비율,여성_유동인구_비율,월_평균_소득_금액,log_income,여가_지출_총금액,지출_총금액,유사_업종_점포_수,점포_수,경쟁강도,주말_매출_비율,영역_면적,sps_mean,sps_growth,sps_cagr,sps_cv,sps_trend_slope,store_growth,sales_mean,sales_growth
count,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0
mean,3114433.3463203465,22024946.32096711,16.31500924185639,723199046.069264,18.9374826725279,1134359.501082251,2991.348484848485,13.569924336156934,94687.11634851785,245.11552564656907,0.5145111404538784,0.5275360164484904,2896719.1515151514,14.853240231774063,65170534.82359307,1652243512.3961039,22.324675324675326,16.63203463203463,1.7836747224726326,0.28326449371024415,134492.49675324676,22311140.19396748,0.4873768727153095,0.04431260526814515,0.2698579598481172,79604.10836199981,0.23153479838781765,691718588.5499865,0.779985372057518
std,10633.129647926713,24483890.614753455,1.258077956386282,1760860668.5279546,1.7891508808624321,1003309.5398797961,2452.549977245338,0.9522796945675346,63697.34497285023,129.96602037703255,0.09987090756686691,0.03289988977584367,720610.3687872703,0.21883756882181096,57356403.73112609,1417736683.2267783,32.25364328741158,23.25861230476419,2.097008858609809,0.10909677623901122,139154.03043301293,24873450.022533786,1.8889429764654613,0.19462571955764024,0.17216788388149165,994984.520464756,0.3955718361366268,1666558690.9433725,2.3195751904193456
min,3001491.0,19867.25,9.896878259196193,238407.0,12.381738770657286,8844.0,7.0,9.087607606593886,451.3425322004981,1.0550987647808032,0.31549858857422497,0.3738053477467158,1554706.0,14.256797661404057,219377.0,5040555.0,3.0,0.0,0.09563557490369498,0.0,3810.0,298873.4720959596,-0.9963873171351209,-0.7548355702454912,0.0374081420079565,-8747456.32019608,-0.6,2070389.75,-0.995664780562145
25%,3110402.0,6563563.408333333,15.697044010463113,53883567.0,17.80233612780107,458830.25,1139.5,13.036437673876687,57434.19156919884,139.61248824693706,0.4337682440907048,0.5116775061996378,2418115.25,14.698499384528958,25277273.25,656961639.25,7.0,6.0,0.8445685175200246,0.22121850407288596,61588.5,7108640.480841242,-0.20497299180785455,-0.0557316467747683,0.15625877394638985,-252671.86285665212,0.0,58781082.125,-0.08514818516270778
50%,3110862.0,13848426.606227107,16.443681535227757,159213204.0,18.885753001379975,872723.5,2395.0,13.679375142852434,84055.03399100983,249.59655134183654,0.49915624749314286,0.5310872535617195,2684172.5,14.80288341256376,50600381.0,1296569759.0,12.0,9.0,1.3869656693743986,0.2981537684091157,105186.5,14802365.04807546,0.1372206098199287,0.0326688714456495,0.2177267032116807,7095.039772408983,0.1666666666666666,162063964.6875,0.3273975282822458
75%,3120106.25,28493168.566993464,17.165174865339143,555361509.25,20.135129748826127,1499149.0,4116.75,14.220408788328022,121764.10718014117,337.68318992516936,0.5847904163746172,0.545214429023208,3158935.25,14.965745896747954,86398692.75,2210805109.0,22.25,17.0,2.142960479239914,0.3479857053971281,164372.5,29649881.645256538,0.6414494797898121,0.1318969156280894,0.33603918788544807,351771.2991605392,0.4,546431853.71875,0.8749110376566976
max,3130323.0,252281241.4390244,19.34605506458914,23871299233.0,23.895942705392788,8476380.0,18076.0,15.95279414780841,1077005.249343832,661.5071096558514,0.7833891783443263,0.7703539823008849,6477930.0,15.683911727221057,468534099.0,11860857850.0,343.0,236.0,49.86876640419948,0.9333331871245633,2462734.0,299425216.3781196,26.524932109776078,1.2905066875447702,1.4586241136791414,6456272.608919954,2.75,20941410792.75,33.0
