상권_코드,DTW_Cluster,상권유형,sps_mean,sps_growth,sps_cv,sps_first,sps_last
3001491,0,정체상권,37330210.79629523,-0.18397167203199435,0.1337667592373124,34251701.06382979,36788090.355932206
3001492,4,성장상권,63285475.168148436,0.42464919249561167,0.1684026248823376,37348055.62706271,69595624.58600584
3001493,1,기대상권,17398391.52237991,0.14887934816241186,0.12603386189981636,12451032.112244898,19556612.95689655
3001494,4,성장상권,42902803.02314146,0.4755906179298568,0.17379122013292198,26384888.273972604,52839636.245398775
3001495,4,성장상권,50095883.59537175,0.29349811312021273,0.14379975880102544,36042255.44604316,58043511.68617021
3110002,0,정체상권,17520577.203125,-0.3216126413388795,0.21067064568309024,16300025.5,13172401.5
3110003,0,정체상권,6676608.036160715,-0.3843341556696929,0.22124466726791284,6196201.666666667,5096701.166666667
3110006,3,쇠퇴상권,19140636.396874998,-0.21649501550008451,0.15204453190043124,20242123.25,20504565.333333332
3110008,0,정체상권,47898096.32541312,-0.14337190882232168,0.12262094097070107,38424600.18181818,48353056.56521739
3110009,2,전통강호상권,17275371.116326123,0.11524292064436902,0.4037862707337962,8378922.0,13760732.142857144
3110012,2,전통강호상권,40279116.028554775,0.10224591200099103,0.15268959609257185,29265282.0,42905573.25
3110013,1,기대상권,5939824.975,1.3245863457452918,0.49130888591771193,3353090.75,14293824.666666666
3110014,0,정체상권,2848808.2228422617,-0.22849869071922094,0.13666478544499366,3025553.1428571427,2575530.8571428573
3110015,1,기대상권,65136006.80729167,0.7144369580629837,0.23515708455102707,41990221.75,89208091.66666667
3110016,2,전통강호상권,13067317.2984375,0.09285507937346717,0.14686836368518408,10993037.714285715,14031257.4
3110017,2,전통강호상권,42365247.50833333,-0.6964309540764374,0.4828875621530953,31580886.0,11306935.8
3110018,4,성장상권,11426805.203025792,0.17497790508907604,0.1608334914600113,6931619.5,13769677.15
3110019,2,전통강호상권,26689715.964606736,0.0482807843470137,0.1490327206818154,16334621.076923076,26698117.666666668
3110020,3,쇠퇴상권,3959614.4537177235,0.09691934424261675,0.29460243049592827,2859463.8571428573,6514743.454545454
3110021,4,성장상권,26222135.746760745,0.29156509498590405,0.17793054930029356,17988120.9,20088588.157894738
3110022,4,성장상권,13239766.327380951,0.2834719689623406,0.15673372460609097,8698103.57142857,11883173.142857144
3110023,3,쇠퇴상권,66134502.59518624,-0.21887594085312034,0.2022040886607261,71050646.57142857,62611279.666666664
3110024,0,정체상권,8562158.352927955,-0.37674420601936814,0.23080050278703007,10619240.181818182,7946115.071428572
3110027,0,정체상권,19636339.553630047,-0.5930437290179167,0.3580766096929876,20740665.0,11028329.909090908
3110028,2,전통강호상권,8141595.152598443,-0.11978400697742103,0.3371742065526256,5772982.153846154,3895480.625
3110029,0,정체상권,946518.7348710317,-0.9435999859992226,0.7150343529683546,977423.25,46590.444444444445
3110035,3,쇠퇴상권,15095418.68048115,-0.5488408498103701,0.6640214538625306,8791402.8,11003056.666666666
3110038,4,성장상권,66573850.35575622,0.4498091785639086,0.2323786274509765,35415840.428571425,72200002.36363636
3110040,4,성장상권,23728056.082291666,0.9480996864155158,0.4254758871486484,25795880.0,23836535.2
3110041,4,성장상권,14455232.685668498,0.23362115098987332,0.19390379912949782,9068897.07142857,17299796.85714286
3110043,2,전통강호상권,5940563.307606196,-0.0681576570886159,0.13407474375298048,4883939.9,5529090.1875
3110045,1,기대상권,675287.8848214286,0.21980779490371335,0.27611644785767087,787553.6666666666,817208.0
3110048,3,쇠퇴상권,2177759.1074404763,-0.02445205240800073,0.2829873062889159,1765123.0,1703998.6
3110049,2,전통강호상권,17483776.85893076,0.2898114500720836,0.2202061731389554,12930641.833333334,9779816.466666667
3110054,1,기대상권,18328796.266437728,1.0279838674201969,0.38112070116161184,13007950.416666666,39438257.428571425
3110056,2,전통강호상권,11148270.188888889,0.026640720619275755,0.1546085347950939,9075480.333333334,8705040.5
3110058,2,전통강호상권,31032488.79563492,-0.12113927830590085,0.30265587094343727,23533631.0,10493282.444444444
3110059,0,정체상권,11034111.616369046,-0.5912596240177386,0.31697838643085596,13974478.5,8198947.6
3110060,1,기대상권,6334576.070454546,0.37723015473702076,0.22690382998602454,6042769.1,4699096.7272727275
3110061,3,쇠퇴상권,12502681.568204366,-0.4007019570524656,0.5572271543273528,21280638.75,18641737.555555556
3110062,2,전통강호상권,20583749.800379746,-0.13977155327911672,0.15945745796228342,17391595.333333332,17653356.11627907
3110063,0,정체상권,3947629.667782738,-0.6549862272297454,0.49858924304324204,4599505.714285715,429466.28571428574
3110064,0,정체상권,21472066.228882574,-0.6262385575751095,0.5002332832793969,36961531.63636363,17061380.666666668
3110066,1,기대상권,14525357.594871795,0.6723027086917492,0.290142155712662,7763405.0,19680051.8125
3110067,1,기대상권,12598198.759470044,0.9152886321087954,0.2796012911655197,5655098.444444444,17068731.09090909
3110068,4,성장상권,28554819.780624807,0.7857260110023438,0.29525041725982226,7477825.894736842,33018078.136363637
3110069,2,전통강호상권,27466654.31505858,0.03239823930976008,0.17099018767189322,22886743.652173914,29328136.019607842
3110074,1,기대상권,42781995.22268742,0.5283719388690801,0.21271829687636654,39591523.89473684,57971400.64705882
3110075,4,성장상권,36870734.59706439,1.0285323975592193,0.2855636488996711,13007305.692307692,36550093.85714286
3110076,1,기대상권,50686091.93958334,1.288144193144131,0.35289605270395674,25121274.5,76803719.0
3110077,0,정체상권,29557670.090625,-0.4643039633284787,0.2961904495098035,49073579.0,18006195.6
