,상권_코드,sps_mean,sps_std,sps_cv,sps_min,sps_max,sps_first,sps_last,sps_growth,sps_cagr,sps_yoy_growth,sps_trend_slope,sps_trend_r2,sps_trend_pvalue,store_first,store_last,store_growth,store_mean,sales_mean,sales_growth,sps_q1_ratio,sps_q2_ratio,sps_q3_ratio,sps_q4_ratio,decline_quarters,decline_ratio,data_quarters
count,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0
mean,3114433.3463203465,22311140.19396748,4853092.122892021,0.2698579598481173,14328011.01517219,31267581.259773526,18526106.44048233,22024946.32096711,0.4873768727153095,0.04431260526814517,0.11210873547853553,79604.10836199981,0.332638980741404,0.18861474407363948,19.127705627705627,22.324675324675326,0.23153479838781765,21.592261904761905,691718588.5499865,0.7799853720575178,0.9027086364094806,1.073160865649974,1.0425700399547388,0.9815604579858066,7.559523809523809,0.503968253968254,16.0
std,10633.129647926713,24873450.02253379,5409364.127224086,0.17216788388149168,18308319.692553382,32949500.502358958,22830123.116637647,24483890.61475346,1.8889429764654613,0.19462571955764027,1.8295609836448912,994984.5204647558,0.263349580960747,0.2766322005475625,27.87572892295088,32.25364328741158,0.3955718361366268,30.812813259756524,1666558690.9433725,2.3195751904193456,0.10113809568690596,0.09517526216460408,0.09839303619629304,0.10979124066885886,1.53179597409644,0.10211973160642931,0.0
min,3001491.0,298873.4720959596,91815.29877412606,0.037408142007956585,19867.25,611329.8571428572,106064.6,19867.25,-0.9963873171351209,-0.7548355702454912,-0.8882018262565093,-8747456.32019608,1.1441726597082786e-05,3.000266630041676e-09,3.0,3.0,-0.6,3.0,2070389.75,-0.995664780562145,0.256326603379285,0.588044576037387,0.5446079136409528,0.49655779289268415,2.0,0.13333333333333333,16.0
25%,3110402.0,7108640.480841242,1725006.7179886876,0.15625877394638987,3385318.1778846155,11200485.614583334,6060075.411363636,6563563.408333333,-0.2049729918078546,-0.055731646774768356,-0.11762324379257175,-252671.86285665212,0.0771175402340813,0.0009460154609562674,6.0,7.0,0.0,7.3125,58781082.125,-0.0851481851627078,0.8481950824310169,1.0245848737760332,0.9913550998979882,0.9243520562051448,6.75,0.45,16.0
50%,3110862.0,14802365.04807546,3130918.7244724864,0.21772670321168075,9020949.638888888,21312529.89393939,11871443.072222222,13848426.606227107,0.13722060981992876,0.03266887144564956,-0.0075221609551987,7095.039772408983,0.29814437133944305,0.02866608870751333,10.0,12.0,0.16666666666666666,11.6875,162063964.6875,0.3273975282822458,0.9025310660847583,1.0665847433906799,1.040992259472699,0.9823327483714583,8.0,0.5333333333333333,16.0
75%,3120106.25,29649881.645256538,6204552.459890734,0.33603918788544807,18895628.588932805,41778573.77941176,23544571.366666667,28493168.566993464,0.6414494797898121,0.13189691562808947,0.12491176044508882,351771.2991605392,0.5538665422333531,0.2977088312086678,19.0,22.25,0.4,21.5,546431853.71875,0.8749110376566976,0.95188165445943,1.1178598044928623,1.0975217111208315,1.0380784277077149,9.0,0.6,16.0
max,3130323.0,299425216.3781196,52696801.60141244,1.4586241136791414,252281241.4390244,359955677.1,291993175.7368421,252281241.4390244,26.524932109776074,1.2905066875447702,53.934281997296175,6456272.608919954,0.9246098809311433,0.9900804671395997,303.0,343.0,2.75,329.0625,20941410792.75,33.0,1.7350748421651332,1.63189589488122,1.6308105523336163,2.0081259695169904,12.0,0.8,16.0
